problem_id  tags
1   hash
2   linklist
4   binary_find,priority_queue
5   dynamic_program
11  two_pointer
15  hash,two_pointer,sort
17  backtrack
21  linklist
22  backtrack
24  linklist
31  inplace
32  stack,two_pointer
33  binary_find
41  hash,inplace
42  monotonic_stack,dynamic_program,two_pointer,priority_queue
46  backtrack
48  inplace
49  hash
51  dfs,backtrack
53  dynamic_program,divide_and_conquer
54  matrix
55  greedy,dynamic_program
56  sort
62  dynamic_program
70  dynamic_program
72  dynamic_program
73  inplace
74  binary_find
75  sort,two_pointer
76  two_pointer,slide_window
78  backtrack
84  monotonic_stack
85  monotonic_stack
86  linklist
94  binary_tree,tree_travel
98  recursive
100 recursive
102 recursive
105 recursive
108 recursive
114 recursive
123 dynamic_program
124 recursive,dfs
128 hash
134 greedy
150 stack
215 divide_and_conquer,sort
230 dfs
234 linklist,two_pointer
236 dfs
238 dynamic_program
239 monotonic_queue,slide_window
279 dynamic_program
283 two_pointer
287 binary_find,two_pointer
295 heap
300 monotonic_queue,dynamic_program
316 monotonic_stack
321 monotonic_stack
322 dynamic_program
402 monotonic_stack
416 dynamic_program,dfs
437 dynamic_program,dfs
560 dynamic_program
743 dfs,dijistra
763 greedy
1114    multi_thread
1115    multi_thread
1116    multi_thread
1195    multi_thread
1702    greedy
2567    sort,two_pointer
2591    greedy
